path,t_start,t_end,duration,f_low,f_high,center_freq,stage_a_conf,completeness_score,completeness_label,retained,n_members
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,58.607359334071475,59.87800341312091,1.2706440790494329,4617.789745330811,9234.786093235016,6926.287919282913,0.9385411143302916,0.9998630285263062,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,58.70933333333333,59.86443578338623,1.155102450052894,4588.774055242538,9139.770179986954,6864.272117614746,0.9352582693099976,0.9997851252555848,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,59.392,59.85489160569509,0.46289160569509136,4774.890750646591,8466.55449271202,6620.722621679306,0.8760975003242493,0.999526858329773,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,64.42556721433003,65.7615213727951,1.3359541584650714,4878.523260354996,9328.623622655869,7103.573441505432,0.9333553910255432,0.9998088479042052,complete,true,6
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,73.63592258485158,74.93734564971923,1.3014230648676488,4960.98330616951,9415.920585393906,7188.451945781708,0.9395063519477844,0.9999912977218628,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,73.63668084120751,74.94295303559304,1.306272194385528,4952.387720346451,9419.115990400314,7185.751855373383,0.9388339519500732,0.999963402748108,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,73.72935669867198,74.93560916074117,1.2062524620691877,4962.322846055031,9254.62393462658,7108.473390340805,0.9366475343704224,0.999975562095642,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,74.41066666666667,74.93447996918361,0.5238133025169418,5106.978848576546,8394.17128264904,6750.575065612793,0.9223231077194214,0.9999473094940186,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,84.20274172401427,85.57113735580444,1.3683956317901649,4764.964789152145,9458.947464823725,7111.956126987934,0.9402945041656494,0.9998239874839784,complete,true,6
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,96.62763145128883,98.00325907389322,1.3756276226043695,4809.812888503075,9236.429393291472,7023.121140897274,0.9283772706985474,0.9852775931358336,complete,true,5
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,110.36150163968404,111.7020128062566,1.3405111665725684,4808.202221989632,9403.397127985954,7105.799674987793,0.9271599650382996,0.997916042804718,complete,true,5
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,123.20090133953092,124.60116861406962,1.4002672745386917,4876.380622386932,9404.824063181875,7140.602342784405,0.9316338300704956,0.9995960593223572,complete,true,6
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,134.89600699361165,136.26981640752155,1.3738094139098962,4742.003291845322,9419.807106256483,7080.905199050903,0.9361161589622498,0.9988613128662108,complete,true,6
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,149.37718845939636,150.7648588059743,1.3876703465779483,4896.590173244476,9465.038537979126,7180.814355611801,0.928437888622284,0.9967516660690308,complete,true,5
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,164.7971041463216,166.16940351422627,1.3722993679046738,4676.885515451431,9497.90945649147,7087.397485971451,0.9387532472610474,0.9999719858169556,complete,true,6
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,183.57173994668324,184.98839661248525,1.4166566658020088,4910.970166325569,9404.695317149162,7157.832741737366,0.92106431722641,0.9999790191650392,complete,true,1
/Users/leyangloh/dev/bird-audio-pwa/data/20250611_080000.WAV,183.57686875534057,184.98739793014525,1.4105291748046795,4920.496702194214,9407.856523990631,7164.1766130924225,0.921790599822998,0.9999790191650392,complete,true,1
